,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
KCNS3,4.20766E-35,0.915041072,0.202,0.039,1.17688E-30
C1RL,4.31779E-35,0.481868997,0.292,0.095,1.20769E-30
GPR173,6.57709E-35,0.554652525,0.194,0.034,1.83961E-30
OR2T11,6.71941E-35,-0.532777635,0.029,0.14,1.87942E-30
H3F3A,6.76032E-35,-0.398563534,0.024,0.129,1.89086E-30
PLIN5,7.18482E-35,-0.804131667,0.089,0.235,2.0096E-30
PTPN12,8.57199E-35,0.537872967,0.543,0.284,2.39759E-30
CCL2,8.8889E-35,0.369661443,0.179,0.024,2.48623E-30
RPL7,1.02588E-34,-0.424606268,0.03,0.141,2.86939E-30
ZHX3,1.0328E-34,-0.740361631,0.403,0.578,2.88874E-30
ETS1,1.05374E-34,0.580668629,0.355,0.136,2.94731E-30
AC008014.1,1.3009E-34,-0.777699839,0.543,0.676,3.63862E-30
PFKP,1.50779E-34,0.565210224,0.455,0.212,4.21728E-30
BSG,1.88073E-34,-0.562463877,0.067,0.205,5.26041E-30
RPS25,1.89222E-34,-0.363822308,0.014,0.105,5.29254E-30
CLK1,1.89339E-34,-0.775166935,0.12,0.273,5.29581E-30
TMC1,2.86962E-34,-0.573649188,0.015,0.109,8.02634E-30
ACADVL,2.88907E-34,-0.807412818,0.173,0.335,8.08072E-30
AL109930.1,2.89312E-34,0.651770191,0.164,0.018,8.09206E-30
AGMAT,3.01342E-34,-0.504508095,0.021,0.121,8.42853E-30
PMM2,3.41401E-34,0.596856202,0.391,0.17,9.54897E-30
PKHD1,3.63571E-34,0.356598061,0.989,0.985,1.01691E-29
JAZF1,4.31586E-34,0.509222612,0.414,0.178,1.20715E-29
AC104035.1,4.43687E-34,0.700492608,0.242,0.065,1.24099E-29
AP000331.1,4.4639E-34,0.526763969,0.127,0,1.24855E-29
ACAA1,5.22018E-34,-0.502897722,0.029,0.137,1.46008E-29
ATP5F1A,5.24155E-34,-0.650405033,0.068,0.202,1.46606E-29
ARMC9,5.44163E-34,0.604449417,0.371,0.158,1.52202E-29
DEPTOR,5.88606E-34,-0.813227648,0.185,0.355,1.64633E-29
PDK2,6.10124E-34,-0.461471656,0.017,0.111,1.70652E-29
PTPN11,6.70211E-34,0.520133859,0.393,0.168,1.87458E-29
ABCC6,6.76979E-34,-0.759538217,0.103,0.254,1.89351E-29
SWAP70,6.88174E-34,0.477407178,0.344,0.13,1.92482E-29
PEPD,6.95012E-34,-0.779101578,0.097,0.242,1.94395E-29
NR3C2,8.00215E-34,-0.811405116,0.51,0.652,2.2382E-29
FBXL2,8.07045E-34,0.578235274,0.553,0.3,2.25731E-29
TEAD1,8.46516E-34,0.55143394,0.854,0.638,2.3677E-29
MUC20,8.61658E-34,-0.696288149,0.064,0.197,2.41006E-29
ANXA1,9.02069E-34,0.605497302,0.251,0.068,2.52309E-29
SORD,9.91941E-34,-0.504689052,0.027,0.13,2.77446E-29
FN3K,1.25211E-33,-0.609551768,0.045,0.165,3.50214E-29
HAVCR1,1.27956E-33,0.618225679,0.373,0.158,3.57892E-29
SLC7A9,1.41071E-33,-0.527017418,0.024,0.127,3.94576E-29
ATG7,1.54306E-33,0.488961005,0.603,0.342,4.31594E-29
PPP2R2B,1.64459E-33,-0.643080504,0.066,0.2,4.59991E-29
THSD4,1.66428E-33,0.687301531,0.484,0.253,4.65499E-29
LNPEP,1.71464E-33,0.579123417,0.535,0.293,4.79585E-29
AL078459.1,1.76286E-33,0.596878495,0.204,0.044,4.93071E-29
CD200,2.01851E-33,0.511765385,0.278,0.09,5.64576E-29
SLC20A2,2.07056E-33,0.613310201,0.572,0.319,5.79136E-29
SRSF2,2.30915E-33,-0.564052344,0.087,0.23,6.4587E-29
AC023590.1,2.31589E-33,0.544507801,0.208,0.047,6.47755E-29
ATP8A1,2.32595E-33,0.637264818,0.425,0.212,6.50569E-29
RASA3,2.55531E-33,0.480413839,0.236,0.06,7.14719E-29
EPAS1,2.67135E-33,0.782939389,0.407,0.185,7.47176E-29
EML4,3.18661E-33,0.493025405,0.758,0.495,8.91294E-29
HKDC1,3.41274E-33,0.511536732,0.35,0.136,9.54543E-29
AL513327.1,3.54809E-33,0.552885779,0.192,0.038,9.924E-29
TGFBR2,3.89662E-33,0.56580878,0.503,0.253,1.08989E-28
BCAR3,4.73902E-33,0.660650902,0.363,0.157,1.3255E-28
SLC5A3,5.4894E-33,-0.781921194,0.138,0.293,1.53538E-28
PC,5.90001E-33,-0.616543642,0.037,0.149,1.65023E-28
PHLDB2,6.03929E-33,0.709949944,0.769,0.573,1.68919E-28
ITGA11,6.52074E-33,0.827445969,0.128,0.003,1.82385E-28
RHPN2,6.57291E-33,0.653833845,0.465,0.236,1.83844E-28
PLXDC2,6.5982E-33,0.66630956,0.842,0.774,1.84552E-28
EFEMP1,7.11228E-33,0.438883552,0.21,0.046,1.9893E-28
MYO9B,8.04774E-33,0.433062526,0.356,0.137,2.25095E-28
AC083855.2,8.59136E-33,0.510929179,0.145,0.011,2.403E-28
SLC4A7,9.34468E-33,0.520250271,0.648,0.404,2.61371E-28
ADAMTS1,1.00765E-32,0.405382801,0.222,0.052,2.81841E-28
VLDLR-AS1,1.02894E-32,0.645936234,0.249,0.074,2.87795E-28
AC105916.1,1.08326E-32,0.625634625,0.263,0.083,3.02988E-28
EFNB2,1.30091E-32,0.558001329,0.198,0.04,3.63865E-28
