,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SORBS1,3.8109E-100,0.792779279,0.312,0.148,1.06591E-95
AC004160.1,3.4232E-99,-0.265112962,0.04,0.139,9.57481E-95
AC093912.1,3.5771E-99,0.976604662,0.441,0.253,1.00051E-94
IRS2,3.8022E-99,-0.391731005,0.072,0.193,1.06348E-94
TRHDE-AS1,3.877E-99,-0.364000215,0.123,0.279,1.08439E-94
LRRC4C,4.5396E-99,0.649288415,0.146,0.021,1.26971E-94
SYT16,4.7923E-99,0.630182397,0.138,0.015,1.34041E-94
PER1,6.0875E-99,-0.483302725,0.196,0.371,1.70268E-94
HIBCH,6.4729E-99,-0.37556056,0.389,0.618,1.81047E-94
CPAMD8,7.2111E-99,0.613929294,0.255,0.091,2.01693E-94
ADIRF,1.07532E-98,0.553251108,0.16,0.029,3.00767E-94
NCALD,1.1841E-98,1.062402968,0.207,0.064,3.31194E-94
ACOXL,1.70244E-98,0.641766173,0.123,0.007,4.76172E-94
EPB41L1,2.24841E-98,-0.468765046,0.363,0.571,6.2888E-94
C5AR1,2.47958E-98,-0.37778696,0.079,0.205,6.9354E-94
IDI1,5.12841E-98,-0.34150085,0.025,0.108,1.43442E-93
AC005208.1,6.03294E-98,-0.382138844,0.329,0.54,1.68741E-93
STPG2,6.14631E-98,-0.403254439,0.234,0.432,1.71912E-93
TEX2,6.93192E-98,-0.311952851,0.072,0.196,1.93886E-93
MFSD2A,7.15901E-98,0.738168709,0.124,0.008,2.00237E-93
GATA2,8.83027E-98,-0.500677136,0.063,0.177,2.46983E-93
EZR,1.07016E-97,1.012268264,0.558,0.43,2.99324E-93
HP1BP3,1.72988E-97,-0.3854964,0.281,0.482,4.83848E-93
AL136962.1,2.00153E-97,-0.256665236,0.047,0.155,5.59828E-93
LYPLAL1,2.98211E-97,-0.42207332,0.326,0.532,8.34096E-93
PLCG2,4.5963E-97,-0.426608404,0.271,0.471,1.28558E-92
GABRA2,6.61796E-97,-0.513471542,0.074,0.195,1.85104E-92
ARL4C,7.43991E-97,0.538638341,0.134,0.014,2.08094E-92
IER3,8.50567E-97,-0.635474167,0.193,0.354,2.37904E-92
CD55,8.92883E-97,0.708560646,0.279,0.116,2.49739E-92
TET1,1.79482E-96,-0.374016421,0.041,0.139,5.02012E-92
SLC26A7,2.82031E-96,0.852410351,0.35,0.195,7.88841E-92
HSPA8,5.92991E-96,-0.278688858,0.035,0.126,1.6586E-91
VEGFC,5.93569E-96,-0.39172692,0.04,0.137,1.66021E-91
C4orf19,8.45761E-96,0.698418694,0.737,0.693,2.36559E-91
C12orf75,1.06272E-95,0.910456664,0.278,0.127,2.97242E-91
UNC5C,1.33424E-95,-0.56543676,0.062,0.175,3.73187E-91
PDE7B,1.34815E-95,0.53057589,0.771,0.673,3.77077E-91
PRSS23,1.47519E-95,-0.42298378,0.135,0.287,4.12609E-91
PLCB1,4.10834E-95,0.896703044,0.355,0.187,1.1491E-90
RAPGEF3,4.48305E-95,-0.32131398,0.102,0.243,1.25391E-90
UBE3C,5.15836E-95,-0.403978846,0.387,0.599,1.44279E-90
TTN-AS1,5.87228E-95,-0.341214597,0.193,0.375,1.64248E-90
DDX39B,1.13355E-94,-0.327820472,0.146,0.306,3.17055E-90
HIBADH,1.24875E-94,-0.401827738,0.349,0.569,3.49276E-90
SLC22A15,1.74295E-94,-0.392659062,0.174,0.347,4.87504E-90
STAT1,3.15518E-94,0.830726062,0.308,0.152,8.82505E-90
CAMK1D,3.52566E-94,0.690022373,0.186,0.049,9.86128E-90
TRA2B,3.61326E-94,-0.35068424,0.192,0.368,1.01063E-89
MAMLD1,3.63576E-94,0.844302731,0.155,0.03,1.01692E-89
ABCA5,7.12417E-94,-0.486715336,0.364,0.583,1.99263E-89
HSPA4L,7.22992E-94,-0.333942003,0.127,0.279,2.02221E-89
KSR2,7.58908E-94,0.816992402,0.592,0.457,2.12267E-89
ROR2,1.16921E-93,0.809801814,0.376,0.202,3.27029E-89
RBM47,1.50559E-93,0.599779551,0.869,0.852,4.21114E-89
GAB1,2.19168E-93,-0.483543972,0.389,0.585,6.13014E-89
TSPAN9,3.36461E-93,-0.373143275,0.357,0.579,9.41083E-89
LINC01508,5.46483E-93,-0.446621338,0.093,0.225,1.52851E-88
SLC35F3,5.5222E-93,0.75258939,0.141,0.021,1.54456E-88
GGA2,5.67595E-93,-0.393469466,0.148,0.303,1.58756E-88
AC008269.1,7.76456E-93,-0.393878201,0.151,0.311,2.17175E-88
ANXA4,1.7133E-92,1.001997492,0.5,0.372,4.7921E-88
MTX2,4.37639E-92,-0.415953179,0.351,0.556,1.22408E-87
MIR4435-2HG,5.13095E-92,0.815334084,0.39,0.234,1.43513E-87
SDHB,5.28339E-92,-0.319105824,0.103,0.242,1.47777E-87
OXR1,5.43901E-92,0.613359837,0.76,0.681,1.52129E-87
EBF1,7.418E-92,0.7565718,0.184,0.052,2.07482E-87
MAP2K6,8.40236E-92,-0.253727735,0.031,0.118,2.35014E-87
NIBAN2,1.53147E-91,0.737530498,0.23,0.085,4.28353E-87
GLCE,1.56702E-91,-0.378652301,0.155,0.316,4.38295E-87
SQLE,1.86899E-91,-0.318220421,0.036,0.126,5.22756E-87
XPA,2.24845E-91,-0.314556804,0.081,0.206,6.2889E-87
ACVR1B,2.4085E-91,-0.341836315,0.244,0.439,6.73657E-87
