,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,Regulation
166,CHD5,8.860299982,-0.037649173,0.174150137,0.428427493,NA,Not Significant
167,RPL22,5579.353311,-0.095253885,0.083426648,0.189624433,0.457933231,Not Significant
168,RNF207-AS1,6.558841184,0.000559272,0.172476928,0.985627567,NA,Not Significant
169,RNF207,309.075399,-0.179726696,0.117839314,0.054198179,0.212678965,Not Significant
170,ICMT,7467.320806,0.218090345,0.114218831,0.017867564,0.098481807,Not Significant
171,ICMT-DT,8.317363863,0.065448297,0.18894445,0.101001203,NA,Not Significant
172,HES3,0.19938203,-0.000434665,0.175772569,1,NA,Not Significant
173,GPR153,190.2276892,-0.217116187,0.225772623,0.065405606,0.239283957,Not Significant
174,ACOT7,2611.908572,-0.113016904,0.081589553,0.1123091,0.335023216,Not Significant
175,HES2,11.93752108,-0.018724686,0.170799385,0.677252165,NA,Not Significant
176,ESPN,11.28910688,-0.059005567,0.178897741,0.302637079,NA,Not Significant
177,MIR4252,0,NA,NA,NA,NA,Not Significant
178,TNFRSF25,454.5585326,-0.034477186,0.129928699,0.701754466,0.875885225,Not Significant
179,PLEKHG5,1464.597021,0.028056299,0.09551176,0.725836292,0.886789732,Not Significant
180,NOL9,1123.841499,-0.027126321,0.130232282,0.724980632,0.886291418,Not Significant
181,TAS1R1,1.03879503,0.002803989,0.175180452,0.844902201,NA,Not Significant
182,LOC107984912,0,NA,NA,NA,NA,Not Significant
183,ZBTB48,386.0775894,-0.016981395,0.106600196,0.844153823,0.937504125,Not Significant
184,KLHL21,1976.166858,-0.005432972,0.084835812,0.950950699,0.980771769,Not Significant
185,LOC107984913,10.03246211,0.08749904,0.198854872,0.101655885,NA,Not Significant
186,PHF13,1048.188615,-0.675705467,0.114611184,3.16E-10,2.32E-08,Down
187,THAP3,394.1747448,-0.219617673,0.187508383,0.055458682,0.216070637,Not Significant
188,DNAJC11,2853.444102,-0.020650119,0.130807073,0.815796546,0.927066764,Not Significant
189,LINC01672,0,NA,NA,NA,NA,Not Significant
190,LOC124904847,0,NA,NA,NA,NA,Not Significant
191,CAMTA1-DT,12.28405428,0.057073542,0.179800783,0.280513899,NA,Not Significant
192,CAMTA1,741.4135943,-0.32424242,0.131213776,0.002409709,0.022325948,Down
193,LOC124903832,1.475681508,-0.017469751,0.176638333,0.278597157,NA,Not Significant
194,CAMTA1-AS3,0,NA,NA,NA,NA,Not Significant
195,CAMTA1-AS2,0,NA,NA,NA,NA,Not Significant
196,CAMTA1-AS1,0,NA,NA,NA,NA,Not Significant
197,LOC105376691,0,NA,NA,NA,NA,Not Significant
198,LOC105376689,22.45485463,0.043469467,0.170108178,0.487650445,0.752249716,Not Significant
199,VAMP3,4367.317139,0.03547979,0.132508076,0.674798843,0.861973802,Not Significant
200,PER3,750.6725252,-0.255315977,0.156632462,0.023229223,0.118991389,Not Significant
201,UTS2,1.383092665,0.004637648,0.174936209,0.80642719,NA,Not Significant
202,TNFRSF9,225.4896757,-0.044822431,0.16262212,0.546993684,0.791420285,Not Significant
203,PARK7,4565.643373,-0.055343484,0.078203103,0.421468268,0.704871075,Not Significant
204,ERRFI1,2401.548649,0.224455291,0.108596939,0.013041224,0.078097316,Not Significant
205,ERRFI1-DT,1.468202039,-0.015039429,0.176228948,0.28629314,NA,Not Significant
206,LOC107984915,0.153461568,0.003832387,0.175786271,0.796841241,NA,Not Significant
207,LINC01714,0.115848434,0.003249006,0.175778167,0.796840423,NA,Not Significant
208,LOC105376695,0,NA,NA,NA,NA,Not Significant
209,SLC45A1,26.15967207,-0.011710718,0.165411015,0.835446926,0.933865546,Not Significant
210,RERE,3082.218616,0.093600901,0.083756566,0.20112666,0.473423984,Not Significant
211,RERE-AS1,1.949057931,-0.009933849,0.175148047,0.605751249,NA,Not Significant
212,SNORD128,0.057957617,0.002179439,0.175776013,0.796839196,NA,Not Significant
213,LOC124900452,0,NA,NA,NA,NA,Not Significant
214,ENO1,70634.81042,-0.118427682,0.088710741,0.122643199,0.352505146,Not Significant
215,MIR6728,0.99104905,-0.006649552,0.175599947,0.589834218,NA,Not Significant
216,ENO1-AS1,1.988117042,-0.007570519,0.174824052,0.710378436,NA,Not Significant
217,LOC112268261,0.527392871,-0.005973556,0.175823802,0.667092093,NA,Not Significant
218,CA6,0.108361985,-0.000369648,0.175773147,1,NA,Not Significant
219,SLC2A7,0.049983058,-0.001600135,0.175775989,0.858244616,NA,Not Significant
220,SLC2A5,3.878934788,0.025186158,0.176080858,0.374371015,NA,Not Significant
221,LOC124900441,0,NA,NA,NA,NA,Not Significant
222,GPR157,365.6808617,-0.143481956,0.137754047,0.14383755,0.391027785,Not Significant
223,MIR34AHG,89.50762893,-0.027715978,0.159977381,0.69017692,0.86913687,Not Significant
224,MIR34A,0,NA,NA,NA,NA,Not Significant
225,LNCTAM34A,12.54924442,0.004071304,0.168556187,0.936065653,NA,Not Significant
226,H6PD,1383.274011,-0.157239714,0.136792032,0.111934109,0.33437526,Not Significant
227,LOC124903836,0,NA,NA,NA,NA,Not Significant
228,SPSB1,1194.217201,0.190131032,0.081453402,0.007882955,0.054647046,Not Significant
229,LINC02606,18.89660193,-0.003008565,0.162198999,0.959995895,NA,Not Significant
230,SLC25A33,438.965507,-0.01357446,0.105756283,0.865293995,0.947122894,Not Significant
231,TMEM201,2347.396737,-0.29335584,0.106132866,0.001283432,0.013696765,Down
232,LOC124903837,1.959567928,0.009996555,0.175024011,0.599523096,NA,Not Significant
233,PIK3CD,4141.074549,0.067083797,0.108743767,0.441145411,0.718625261,Not Significant
234,LOC105376712,0,NA,NA,NA,NA,Not Significant
235,PIK3CD-AS1,0,NA,NA,NA,NA,Not Significant
236,PIK3CD-AS2,14.1811294,0.006543338,0.169204171,0.891481395,NA,Not Significant
237,CLSTN1,11375.35723,0.18380662,0.089760197,0.018506907,0.101054613,Not Significant
238,CTNNBIP1,701.3284075,0.242728896,0.1708338,0.03529392,0.159461529,Not Significant
239,LOC105376717,0.428584473,0.001026815,0.175683451,0.897944302,NA,Not Significant
240,LOC124903838,11.26996192,0.037681273,0.17447757,0.423774273,NA,Not Significant
241,LZIC,1045.112903,-0.754959675,0.130557545,5.15E-10,3.53E-08,Down
242,NMNAT1,408.2391168,0.158432086,0.136987906,0.112648461,0.335554867,Not Significant
243,TMEM274P,0,NA,NA,NA,NA,Not Significant
244,MIR5697,0.322209162,-0.003291235,0.175797386,0.707629501,NA,Not Significant
245,LOC124903840,0.0505391,-0.000307226,0.175776691,1,NA,Not Significant
246,RBP7,146.3745214,-0.196060106,0.153323428,0.065200617,0.239068778,Not Significant
247,UBE4B,2415.993902,0.012067333,0.091449842,0.879523281,0.953025959,Not Significant
248,KIF1B,3808.657372,0.333046316,0.123164676,0.001199048,0.012993535,Up
249,PGD,6717.832072,0.057721074,0.118862952,0.528702864,0.780558693,Not Significant
250,CENPS-CORT,0.115915233,0.002484222,0.175785187,0.710607006,NA,Not Significant
251,CENPS,52.30565807,0.049449259,0.148794249,0.562512733,0.800507186,Not Significant
252,CORT,1.981594659,-8.13E-05,0.174082588,0.997902327,NA,Not Significant
253,DFFA,3737.670807,0.071365604,0.088058915,0.363017154,0.65438114,Not Significant
254,PEX14,957.3914348,-0.013565723,0.091244263,0.869465736,0.948898028,Not Significant
255,CASZ1,131.2444202,-0.001403647,0.128727188,0.986058549,0.994121864,Not Significant
256,LOC105376733,0,NA,NA,NA,NA,Not Significant
257,LOC105376735,0.053667306,-0.000311351,0.17577668,1,NA,Not Significant
258,C1orf127,0.115915233,0.002484222,0.175785187,0.710607006,NA,Not Significant
259,TARDBP,7006.718448,-0.089980331,0.061438579,0.134501883,0.3737493,Not Significant
260,MASP2,1.188644141,-0.018000607,0.176832149,0.175901819,NA,Not Significant
261,SRM,6357.027397,-0.118543231,0.090747834,0.136263342,0.377673293,Not Significant
262,EXOSC10,4012.035228,-0.038078967,0.067007551,0.531378175,0.781225968,Not Significant
263,EXOSC10-AS1,29.7607161,0.01007867,0.163027161,0.872029318,0.949721877,Not Significant
264,MTOR,4480.899783,0.099047629,0.112184696,0.262553808,0.552755208,Not Significant
265,MTOR-AS1,0.099966117,-0.001755189,0.175782852,0.77206627,NA,Not Significant
266,LOC124904848,0,NA,NA,NA,NA,Not Significant
